full_psa_num,psa,district,division
011,1,01,SPD
012,2,01,SPD
021,1,02,NEPD
022,2,02,NEPD
023,3,02,NEPD
031,1,03,SPD
033,3,03,SPD
032,2,03,SPD
051,1,05,NWPD
052,2,05,NWPD
053,3,05,NWPD
061,1,06,CPD
062,2,06,CPD
063,3,06,CPD
077,7,07,NEPD
071,1,07,NEPD
072,2,07,NEPD
073,3,07,NEPD
081,1,08,NEPD
082,2,08,NEPD
083,3,08,NEPD
091,1,09,CPD
092,2,09,CPD
093,3,09,CPD
121,1,12,SWPD
122,2,12,SWPD
123,3,12,SWPD
124,4,12,SWPD
141,1,14,NWPD
142,2,14,NWPD
143,3,14,NWPD
144,4,14,NWPD
152,2,15,NEPD
153,3,15,NEPD
151,1,15,NEPD
161,1,16,SWPD
162,2,16,SWPD
171,1,17,SPD
172,2,17,SPD
173,3,17,SPD
181,1,18,SWPD
182,2,18,SWPD
183,3,18,SWPD
191,1,19,SWPD
192,2,19,SWPD
193,3,19,SWPD
221,1,22,CPD
222,2,22,CPD
223,3,22,CPD
224,4,22,CPD
241,1,24,EPD
242,2,24,EPD
243,3,24,EPD
254,4,25,EPD
253,3,25,EPD
252,2,25,EPD
251,1,25,EPD
261,1,26,EPD
262,2,26,EPD
263,3,26,EPD
351,1,35,NWPD
353,3,35,NWPD
352,2,35,NWPD
391,1,39,NWPD
392,2,39,NWPD
393,3,39,NWPD
