cartodb_id,the_geom,the_geom_webmercator,objectid,id,datetimeoccur,weekday,location,districtoccur,psa,stopcode,stoptype,inside_or_outside,gender,race,age,individual_frisked,individual_searched,individual_arrested,individual_contraband,vehicle_frisked,vehicle_searched,vehicle_contraband,vehicle_contraband_list,individual_contraband_list,mvc_code,mvc_reason,mvc_code_sec,mvc_code_sec_reason,point_x,point_y,on_hin
1189782,0101000020E610000081F0DBEFD4CA52C052B4933D99F74340,0101000020110F000010069890AEEB5FC1EA61603496865241,1263837,568612,2018-03-17T22:55:00Z,SATURDAY,15TH AND WHARTON,17,1,2702,vehicle,Outside,Male,White - Non-Latino,28.0,0,0,0,0,0,0,0,,,,,,,-75.16924664,39.93436402,False
1812148,0101000020E6100000BA9E2AD742C952C06FEFE0489C044440,0101000020110F0000DF53439003E95FC1DF9D007A02955241,1907388,955027,2019-02-15T23:25:00Z,FRIDAY,5400 BLOCK old york,35,2,2702,vehicle,Outside,Male,Black - Non-Latino,35.0,1,0,0,0,0,1,0,,,,,,,-75.14470462,40.03601943,False
485028,0101000020E6100000F0BE6C33BCCA52C073AEB4CE70004440,0101000020110F0000BB1E518C84EB5FC1813605A462905241,500567,35840057,2021-08-13T23:21:00Z,FRIDAY,2300 BLOCK W Allegheny Av,39,3,2702,vehicle,Outside,Female,Black - Non-Latino,26.0,0,0,0,0,0,0,0,,,,,,,-75.16773687,40.00344261,True
1579882,0101000020E6100000D4F502BB33CA52C04F6549677DF54340,0101000020110F000064AC4DBD9CEA5FC12204C35740845241,1673935,980932,2019-03-05T18:05:00Z,TUESDAY,700 BLOCK PORTER STREET,03,3,2702,vehicle,Outside,Male,White - Non-Latino,38.0,0,0,0,0,0,1,0,,,,,,,-75.15940738,39.91788951,False
1138692,0101000020E61000001069861AE6CA52C076B8258BDE034440,0101000020110F00007E4860B9CBEB5FC147B0FE0230945241,1225891,1001667,2019-03-20T13:30:00Z,WEDNESDAY,5200 BLOCK GREENE,39,1,2702,vehicle,Outside,Male,Black - Non-Latino,34.0,0,0,0,0,0,0,0,,,,,,,-75.17029441,40.03022899,False
1284379,0101000020E6100000AFB12A4686C952C0CCDDDF87A0FA4340,0101000020110F0000A2C5341B76E95FC103A04314F1895241,1366365,1310327,2019-10-20T23:50:00Z,SUNDAY,6TH AND CALLOWHILL ST,06,1,2701,pedestrian,Outside,Female,Black - Non-Latino,32.0,0,0,0,0,0,0,0,,,,,,,-75.14882044,39.95802401,False
2104397,0101000020E6100000EE158A3223C952C0525BF29177004440,0101000020110F0000666188D0CDE85FC1456184236A905241,2254234,726548,2018-07-29T20:32:00Z,SUNDAY,3400 BLOCK N 8TH ST,25,4,2702,vehicle,Outside,Female,Black - Non-Latino,21.0,0,0,0,0,0,0,0,,,,,,,-75.14277328,40.00364899,False
1551597,0101000020E6100000CF7E07B387CB52C0F64820B11FF74340,0101000020110F00002783F135DEEC5FC1A18324940F865241,1663059,62748962,2022-02-17T22:52:00Z,THURSDAY,1700 BLOCK S 21st St,17,3,2702,vehicle,Outside,Male,Asian,25.0,0,0,0,0,0,0,0,,,4303A,"Police observed vehicle traveling SB at above location with all head and tail lights out, Upon police investigation NCIC/PCIC not operation at the time, Verbal warning given",,,-75.18015743,39.93065466,False
59080,0101000020E610000027D756E47ECA52C0A42A1A2963F84340,0101000020110F00005879A2681CEB5FC1F15D76DD75875241,64475,1042781,2019-04-18T12:20:00Z,THURSDAY,1300 BLOCK CATHARINE,03,1,2702,vehicle,Outside,Male,Unknown,36.0,0,0,0,0,0,0,0,,,,,,,-75.16399487,39.94052613,True
838263,0101000020E6100000709AFC1E4EC052C0B8B00B9200074440,0101000020110F0000A0611926CDD95FC16BE741C2A9975241,877510,1042675,2019-04-18T06:20:00Z,THURSDAY,4000 BLOCK LINDEN AVENUE,08,1,2702,vehicle,Outside,Female,White - Non-Latino,32.0,0,0,0,0,0,0,0,,,,,,,-75.00476813,40.05470491,True
353593,0101000020E610000079F475CFF0C752C099AA070E60044440,0101000020110F00005DABA862C5E65FC1053598AABF945241,379764,826757,2018-10-30T01:10:00Z,MONDAY,5500 BLOCK MASCHER AVE,35,1,2702,vehicle,Outside,Female,Black - Non-Latino,36.0,0,0,0,0,0,0,0,,,,,,,-75.1240729,40.03418136,False
2029804,0101000020E6100000EA6A9F4CEBC852C065AFD2382FFF4340,0101000020110F00002E04B3DD6EE85FC1707CAF1CFE8E5241,2154456,25083564,2021-05-28T15:11:00Z,FRIDAY,2800 BLOCK N ORKNEY ST,25,3,2702,vehicle,Outside,Male,Black - Non-Latino,17.0,1,0,0,0,1,0,0,,,,,,,-75.13936152,39.9936286,False
2561158,0101000020E6100000F41D788C1DCF52C039626F5A57FA4340,0101000020110F0000F5872E45F5F25FC1AB40EAFF9F895241,2719627,1315130,2019-10-24T21:36:00Z,THURSDAY,5700 BLOCK SPRUCE ST,18,1,2701,pedestrian,Outside,Male,Black - Non-Latino,20.0,0,0,0,0,0,0,0,,,,,,,-75.23617851,39.95579081,False
138600,0101000020E6100000DB5DB1D098C752C05DDFA8916DFF4340,0101000020110F0000EE3CADEA2FE65FC1A857C93A438F5241,149625,555193,2018-03-06T20:10:00Z,TUESDAY,600 BLOCK E CLEARFIELD,24,2,2701,pedestrian,Outside,Female,Black - Non-Latino,34.0,0,0,0,0,0,0,0,,,,,,,-75.1187021,39.99553128,False
234251,0101000020E610000014C70590AFCA52C01189C603DF004440,0101000020110F0000251FA9146FEB5FC13BBAB6D5DC905241,230440,496927,2018-01-15T01:32:00Z,SUNDAY,3400 BLOCK N 23RD STREET,39,2,2701,pedestrian,Outside,Male,Black - Non-Latino,26.0,1,0,0,0,0,0,0,,,,,,,-75.1669655,40.00680587,False
289654,0101000020E61000000D59179683CF52C0C40FA5285DFB4340,0101000020110F000031A36297A2F35FC17FD49116C28A5241,306028,1069810,2019-05-08T13:25:00Z,WEDNESDAY,61ST /  ARCH ST,19,2,2702,vehicle,Outside,Female,Black - Non-Latino,26.0,0,0,0,0,0,0,0,,,,,,,-75.24240639,39.96378048,False
853592,0101000020E61000004A227F59EFCB52C0FE493AD232074440,0101000020110F0000B90368458EED5FC1295C2884E1975241,911008,1429944,2020-01-30T21:06:00Z,THURSDAY,100 BLOCK E GORGAS LN,14,2,2702,vehicle,Outside,Female,Black - Non-Latino,27.0,0,0,0,0,0,0,0,,,,,,,-75.18648374,40.05623844,False
87804,0101000020E610000008865A7052C052C0850751E71F074440,0101000020110F00006A0FAD7BD4D95FC1B4E37F86CC975241,91979,557825,2018-03-09T15:55:00Z,FRIDAY,9200 BLOCK FRANKFORD AVE,08,1,2702,vehicle,Outside,Female,White - Non-Latino,59.0,0,0,0,0,0,0,0,,,,,,,-75.00503167,40.05566112,False
1335657,0101000020E6100000969206333DCA52C0195D5AE409034440,0101000020110F0000DE3CBCD2ACEA5FC11663C52744935241,1417413,91026449,2022-08-17T00:45:00Z,TUESDAY,0 BLOCK BERKLEY ST,39,1,2702,vehicle,Outside,Female,Black - Non-Latino,34.0,0,0,0,0,0,0,0,,,,,,,-75.15998531,40.02373938,False
1950952,0101000020E6100000F0CAE48A01C852C0C9FEBB3682034440,0101000020110F0000513380CEE1E65FC15C2DA49AC9935241,2078832,953790,2019-02-15T02:04:00Z,THURSDAY,masher and ashdale,35,2,2701,pedestrian,Outside,Male,Unknown,25.0,0,0,0,0,0,0,0,,,,,,,-75.12509415,40.02741131,False
414390,0101000020E61000006CF6D58F6CC652C05D3E8A21D6054440,0101000020110F00008F72FBE731E45FC18CED09A45E965241,446614,836567,2018-11-09T02:35:00Z,THURSDAY,6000 BLOCK RISING SUN,02,1,2702,vehicle,Outside,Male,Black - Non-Latino,44.0,0,0,0,0,0,0,0,,,,,,,-75.10037609,40.04559726,False
182129,0101000020E6100000B5BB0F59C7C952C04CCA59AFD4024440,0101000020110F000010DF03A4E4E95FC15B87532509935241,195110,1184335,2019-07-24T22:25:00Z,WEDNESDAY,4500 BLOCK smedley,35,2,2702,vehicle,Outside,Male,Black - Non-Latino,28.0,1,0,0,0,0,1,0,,,,,,,-75.15279223,40.02211563,False
2670427,0101000020E6100000E63DAD26F8CA52C0C7A43B5F1E004440,0101000020110F0000782D2B61EAEB5FC15DC5363E07905241,2839958,17053543,2021-04-02T23:01:00Z,FRIDAY,3000 BLOCK N 25TH ST,39,3,2702,vehicle,Outside,Male,Black - Non-Latino,27.0,0,0,0,0,0,0,0,,,,,,,-75.17139594,40.00092687,False
2055398,0101000020E6100000DF4A1BB351C852C06B8245D145054440,0101000020110F000029B525F669E75FC17CFC808ABE955241,2191013,520372,2018-02-03T05:20:00Z,SATURDAY,500 BLOCK W NEDRO,35,1,2702,vehicle,Outside,Male,Black - Non-Latino,26.0,0,0,0,0,0,0,0,,,,,,,-75.12998655,40.04119316,False
1429512,0101000020E61000000A1D2A7C6CCE52C02ABFB10C96FA4340,0101000020110F000012B27E82C8F15FC1675B4D77E5895241,1528175,576931,2018-03-25T20:25:00Z,SUNDAY,5200 BLOCK SAMSON ST,18,2,2702,vehicle,Outside,Female,White - Non-Latino,18.0,0,0,0,0,0,0,0,,,,,,,-75.2253714,39.95770415,True
1429512,0101000020E61000000A1D2A7C6CCE52C02ABFB10C96FA4340,0101000020110F000012B27E82C8F15FC1675B4D77E5895241,1528175,576931,2018-03-25T20:25:00Z,SUNDAY,5200 BLOCK SAMSON ST,18,2,2702,vehicle,Outside,Female,White - Non-Latino,18.0,0,0,0,0,0,0,0,,,,,,,-75.2253714,39.95770415,True
440628,0101000020E610000061218C0271C752C0A58182FF6BFF4340,0101000020110F0000E071B04DECE55FC1958CF57C418F5241,473364,656357,2018-05-29T16:15:00Z,TUESDAY,3100 BLOCK Reach st,24,2,2701,pedestrian,Inside,Male,White - Latino,33.0,0,0,0,0,0,0,0,,,,,,,-75.11627258,39.99548333,False
1651165,0101000020E610000094D78C0481C952C03A15DB6AF7F54340,0101000020110F0000E4798A2D6DE95FC1ABAF7B75C7845241,1750588,1337138,2019-11-11T00:33:00Z,SUNDAY,100 BLOCK Snyder Ave,03,2,2702,vehicle,Outside,Female,White - Non-Latino,67.0,0,0,0,0,0,0,0,,,,,,,-75.14849962,39.92161308,False
372858,0101000020E6100000F895DE6938C752C01B8CA6EDBEFF4340,0101000020110F0000D63A362B8CE55FC12DB7546D9D8F5241,402263,625456,2018-05-03T16:50:00Z,THURSDAY,900 BLOCK westmoreland,24,1,2702,vehicle,Outside,Male,White - Non-Latino,55.0,0,0,0,0,0,0,0,,,,,,,-75.11281821,39.99801417,False
2544812,0101000020E61000001C4FBAE383C852C056675296E3FD4340,0101000020110F0000E9C1D236BFE75FC1C1E8ED7E8E8D5241,2708972,791138,2018-09-26T15:50:00Z,WEDNESDAY,2200 BLOCK N HOPE ST,26,1,2701,pedestrian,Outside,Male,White - Latino,25.0,0,0,0,0,0,0,0,,,,,,,-75.1330499,39.98350791,False
